abordó	abordaron
abrió	abrieron
acordó	acordaron
alcanzó	alcanzaron
alentó	alentaron
animó	animaron
anunció	anunciaron
apoyó	apoyaron
aprobó	aprobaron
asistió	asistieron
asumió	asumieron
bailó	bailaron
bebió	bebieron
caminó	caminaron
cantó	cantaron
causó	causaron
completó	completaron
compró	compraron
concluyó	concluyeron
conservó	conservaron
controló	controlaron
convirtió	convirtieron
cooperó	cooperaron
corrió	corrieron
creció	crecieron
definió	definieron
dependió	dependieron
destacó	destacaron
enfrentó	enfrentaron
expresó	expresaron
financió	financiaron
habilitó	habilitaron
identificó	identificaron
implicó	implicaron
informó	informaron
integró	integraron
jugó	jugaron
mejoró	mejoraron
modificó	modificaron
olvidó	olvidaron
oyó	oyeron
robó	robaron
siguió	siguieron
sentó	sentaron
sumó	sumaron
trató	trataron
usó	usaron
vendió	vendieron
viajó	viajaron
visitó	visitaron
