abandonará	abandonaréis
adquirirá	adquiriréis
anunciará	anunciaréis
aplicará	aplicaréis
ayudará	ayudaréis
añadirá	añadiréis
caerá	caeréis
causará	causaréis
compartirá	compartiréis
comprará	compraréis
contendrá	contendréis
controlará	controlaréis
destruirá	destruiréis
dirigirá	dirigiréis
ejercerá	ejerceréis
empezará	empezaréis
enviará	enviaréis
estará	estaréis
evitará	evitaréis
explicará	explicaréis
expresará	expresaréis
fallará	fallaréis
fomentará	fomentaréis
formulará	formularéis
ganará	ganaréis
generará	generaréis
habilitará	habilitaréis
hablará	hablaréis
impondrá	impondréis
irá	iréis
llamará	llamaréis
localizará	localizaréis
logrará	lograréis
medirá	mediréis
mirará	miraréis
mostrará	mostraréis
obtendrá	obtendréis
pagará	pagaréis
parará	pararéis
participará	participaréis
pondrá	pondréis
preparará	prepararéis
proporcionará	proporcionaréis
reconocerá	reconoceréis
referirá	referiréis
seleccionará	seleccionaréis
será	seréis
sumará	sumaréis
superará	superaréis
vivirá	viviréis
