acelero	aceleraría
actúo	actuaría
administro	administraría
alcanzo	alcanzaría
amplío	ampliaría
analizo	analizaría
anuncio	anunciaría
aparezco	aparecería
aprovecho	aprovecharía
asisto	asistiría
aumento	aumentaría
camino	caminaría
causo	causaría
combato	combatiría
confirmo	confirmaría
controlo	controlaría
coopero	cooperaría
creo	creería
cuido	cuidaría
digo	diría
demuestro	demostraría
describo	describiría
designo	designaría
dirijo	dirigiría
elaboro	elaboraría
enseño	enseñaría
entiendo	entendería
examino	examinaría
exploro	exploraría
facilito	facilitaría
imagino	imaginaría
informo	informaría
leo	leería
menciono	mencionaría
ocurro	ocurriría
ofrezco	ofrecería
oigo	oiría
pido	pediría
preservo	preservaría
propongo	propondría
protejo	protegería
recojo	recogería
reconozco	reconocería
robo	robaría
saco	sacaría
sumo	sumaría
superviso	supervisaría
vengo	vendría
verifico	verificaría
vuelo	volaría
