acordaba	acordasteis
anunciaba	anunciasteis
aumentaba	aumentasteis
averiguaba	averiguasteis
combatía	combatisteis
comía	comisteis
completaba	completasteis
consideraba	considerasteis
consistía	consististeis
consultaba	consultasteis
continuaba	continuasteis
convertía	convertisteis
definía	definisteis
dependía	dependisteis
destacaba	destacasteis
ejecutaba	ejecutasteis
encontraba	encontrasteis
evaluaba	evaluasteis
fallaba	fallasteis
firmaba	firmasteis
garantizaba	garantizasteis
hablaba	hablasteis
integraba	integrasteis
invertía	invertisteis
llamaba	llamasteis
localizaba	localizasteis
mejoraba	mejorasteis
mencionaba	mencionasteis
moría	moristeis
mostraba	mostrasteis
obtenía	obtuvisteis
pasaba	pasasteis
pensaba	pensasteis
permanecía	permanecisteis
preparaba	preparasteis
promocionaba	promocionasteis
promovía	promovisteis
proponía	propusisteis
recordaba	recordasteis
reducía	redujisteis
reforzaba	reforzasteis
respetaba	respetasteis
respondía	respondisteis
satisfacía	satisficisteis
seguía	seguisteis
solicitaba	solicitasteis
sumaba	sumasteis
tenía	tuvisteis
trataba	tratasteis
veía	visteis
