ampliaré	ampliaríais
atraeré	atraeríais
avanzaré	avanzaríais
caeré	caeríais
cambiaré	cambiaríais
casaré	casaríais
completaré	completaríais
confirmaré	confirmaríais
contendré	contendríais
creceré	creceríais
cubriré	cubriríais
defenderé	defenderíais
desempeñaré	desempeñaríais
eliminaré	eliminaríais
encontraré	encontraríais
escucharé	escucharíais
examinaré	examinaríais
existiré	existiríais
exploraré	exploraríais
facilitaré	facilitaríais
formaré	formaríais
funcionaré	funcionaríais
ganaré	ganaríais
identificaré	identificaríais
integraré	integraríais
introduciré	introduciríais
investigaré	investigaríais
iré	iríais
jugaré	jugaríais
llegaré	llegaríais
lloraré	lloraríais
lograré	lograríais
mataré	mataríais
mejoraré	mejoraríais
moveré	moveríais
ocurriré	ocurriríais
preguntaré	preguntaríais
presentaré	presentaríais
propondré	propondríais
recibiré	recibiríais
recogeré	recogeríais
recordaré	recordaríais
reemplazaré	reemplazaríais
respetaré	respetaríais
romperé	romperíais
seré	seríais
tomaré	tomaríais
trabajaré	trabajaríais
uniré	uniríais
usaré	usaríais
