abandona	abandonamos
alcanza	alcanzamos
apoya	apoyamos
aprende	aprendimos
aprovecha	aprovechamos
asegura	aseguramos
atrae	atrajimos
avanza	avanzamos
baila	bailamos
bebe	bebimos
celebra	celebramos
conduce	condujimos
contribuye	contribuimos
controla	controlamos
convierte	convertimos
defiende	defendimos
deja	dejamos
descarga	descargamos
dirige	dirigimos
discute	discutimos
elabora	elaboramos
escapa	escapamos
estudia	estudiamos
examina	examinamos
forma	formamos
habilita	habilitamos
intenta	intentamos
va	fuimos
llama	llamamos
logra	logramos
mide	medimos
mejora	mejoramos
muere	morimos
olvida	olvidamos
para	paramos
parece	parecimos
parte	partimos
promueve	promovimos
reconoce	reconocimos
refiere	referimos
relaciona	relacionamos
sabe	supimos
sienta	sentamos
sobrevive	sobrevivimos
solicita	solicitamos
sufre	sufrimos
supervisa	supervisamos
toca	tocamos
trabaja	trabajamos
viene	vinimos
