abandonamos	abandonarás
aceptamos	aceptarás
actuamos	actuarás
agradecemos	agradecerás
alcanzamos	alcanzarás
aumentamos	aumentarás
caemos	caerás
causamos	causarás
cerramos	cerrarás
compramos	comprarás
continuamos	continuarás
coordinamos	coordinarás
corremos	correrás
creamos	crearás
crecemos	crecerás
cubrimos	cubrirás
decimos	dirás
demostramos	demostrarás
desempeñamos	desempeñarás
discutimos	discutirás
ejercemos	ejercerás
escuchamos	escucharás
explicamos	explicarás
hablamos	hablarás
imaginamos	imaginarás
incorporamos	incorporarás
incrementamos	incrementarás
jugamos	jugarás
leemos	leerás
limitamos	limitarás
llevamos	llevarás
morimos	morirás
observamos	observarás
olvidamos	olvidarás
perdemos	perderás
podemos	podrás
reconocemos	reconocerás
recuperamos	recuperarás
requerimos	requerirás
respetamos	respetarás
rompemos	romperás
salvamos	salvarás
seleccionamos	seleccionarás
señalamos	señalarás
soportamos	soportarás
superamos	superarás
traemos	traerás
vendemos	venderás
vivimos	vivirás
votamos	votarás
