aceptan	aceptaron
alcanzan	alcanzaron
aparecen	aparecieron
aprenden	aprendieron
averiguan	averiguaron
bailan	bailaron
beben	bebieron
cambian	cambiaron
consiguen	consiguieron
consisten	consistieron
contienen	contuvieron
convierten	convirtieron
defienden	defendieron
desarrollan	desarrollaron
destacan	destacaron
dirigen	dirigieron
disfrutan	disfrutaron
ejercen	ejercieron
escuchan	escucharon
evaden	evadieron
exploran	exploraron
facilitan	facilitaron
formulan	formularon
ganan	ganaron
generan	generaron
identifican	identificaron
imponen	impusieron
incluyen	incluyeron
incorporan	incorporaron
indican	indicaron
mantienen	mantuvieron
mejoran	mejoraron
mencionan	mencionaron
obtienen	obtuvieron
paran	pararon
piden	pidieron
proporcionan	proporcionaron
publican	publicaron
reciben	recibieron
refuerzan	reforzaron
salen	salieron
satisfacen	satisficieron
sirven	sirvieron
solicitan	solicitaron
soportan	soportaron
trabajan	trabajaron
utilizan	utilizaron
verifican	verificaron
vuelven	volvieron
votan	votaron
