accedía	accedíais
aceptaba	aceptabais
acordaba	acordabais
actuaba	actuabais
ampliaba	ampliabais
aparecía	aparecíais
aplicaba	aplicabais
apoyaba	apoyabais
asumía	asumíais
caminaba	caminabais
comenzaba	comenzabais
conducía	conducíais
confiaba	confiabais
consultaba	consultabais
corría	corríais
crecía	crecíais
demostraba	demostrabais
desempeñaba	desempeñabais
destruía	destruíais
determinaba	determinabais
dormía	dormíais
ejecutaba	ejecutabais
enviaba	enviabais
financiaba	financiabais
fomentaba	fomentabais
habilitaba	habilitabais
iniciaba	iniciabais
introducía	introducíais
involucraba	involucrabais
mejoraba	mejorabais
mencionaba	mencionabais
ofrecía	ofrecíais
parecía	parecíais
participaba	participabais
perdía	perdíais
preguntaba	preguntabais
presentaba	presentabais
promocionaba	promocionabais
proponía	proponíais
realizaba	realizabais
recordaba	recordabais
recuperaba	recuperabais
reemplazaba	reemplazabais
respondía	respondíais
rompía	rompíais
salvaba	salvabais
seleccionaba	seleccionabais
superaba	superabais
tomaba	tomabais
votaba	votabais
