abrir	abrirá
aceptar	aceptará
administrar	administrará
agradecer	agradecerá
alentar	alentará
animar	animará
anunciar	anunciará
aparecer	aparecerá
aplicar	aplicará
ayudar	ayudará
cambiar	cambiará
caminar	caminará
casar	casará
completar	completará
confirmar	confirmará
considerar	considerará
consultar	consultará
contener	contendrá
dar	dará
defender	defenderá
demostrar	demostrará
detener	detendrá
discutir	discutirá
escuchar	escuchará
evadir	evadirá
facilitar	facilitará
fomentar	fomentará
formular	formulará
fortalecer	fortalecerá
guardar	guardará
incluir	incluirá
indicar	indicará
informar	informará
investigar	investigará
jugar	jugará
leer	leerá
llevar	llevará
manejar	manejará
mencionar	mencionará
parecer	parecerá
presentar	presentará
preservar	preservará
proteger	protegerá
publicar	publicará
recibir	recibirá
robar	robará
ser	será
tomar	tomará
traer	traerá
ver	verá
