administro	administrasteis
agradezco	agradecisteis
animo	animasteis
aplico	aplicasteis
aseguro	asegurasteis
caigo	caísteis
camino	caminasteis
causo	causasteis
cierro	cerrasteis
comienzo	comenzasteis
compro	comprasteis
consolido	consolidasteis
cuento	contasteis
contengo	contuvisteis
defiendo	defendisteis
desarrollo	desarrollasteis
desempeño	desempeñasteis
existo	exististeis
firmo	firmasteis
funciono	funcionasteis
garantizo	garantizasteis
hago	hicisteis
imagino	imaginasteis
instalo	instalasteis
limito	limitasteis
limpio	limpiasteis
llamo	llamasteis
lloro	llorasteis
manejo	manejasteis
mejoro	mejorasteis
muestro	mostrasteis
ocurro	ocurristeis
pago	pagasteis
paro	parasteis
parto	partisteis
pregunto	preguntasteis
protejo	protegisteis
publico	publicasteis
realizo	realizasteis
reconozco	reconocisteis
requiero	requeristeis
rompo	rompisteis
salgo	salisteis
siento	sentasteis
soy	fuisteis
sirvo	servisteis
sobrevivo	sobrevivisteis
superviso	supervisasteis
vengo	vinisteis
visito	visitasteis
