abren	abríais
aceptan	aceptabais
administran	administrabais
animan	animabais
anuncian	anunciabais
aumentan	aumentabais
beben	bebíais
confían	confiabais
cuentan	contabais
coordinan	coordinabais
cortan	cortabais
crean	creabais
descargan	descargabais
designan	designabais
determinan	determinabais
entienden	entendíais
entran	entrabais
envían	enviabais
exploran	explorabais
fortalecen	fortalecíais
ganan	ganabais
gastan	gastabais
han	habíais
habilitan	habilitabais
hablan	hablabais
hacen	hacíais
invierten	invertíais
involucran	involucrabais
mantienen	manteníais
miden	medíais
mueven	movíais
necesitan	necesitabais
obtienen	obteníais
olvidan	olvidabais
operan	operabais
pasan	pasabais
pueden	podíais
presentan	presentabais
preservan	preservabais
realizan	realizabais
recogen	recogíais
relacionan	relacionabais
rompen	rompíais
sacan	sacabais
salen	salíais
seleccionan	seleccionabais
solicitan	solicitabais
superan	superabais
supervisan	supervisabais
viajan	viajabais
