administrarán	administrarían
alcanzarán	alcanzarían
analizarán	analizarían
aprenderán	aprenderían
aprovecharán	aprovecharían
añadirán	añadirían
cantarán	cantarían
comenzarán	comenzarían
comprarán	comprarían
comprobarán	comprobarían
conocerán	conocerían
convertirán	convertirían
cooperarán	cooperarían
correrán	correrían
crecerán	crecerían
cumplirán	cumplirían
dirán	dirían
destacarán	destacarían
dormirán	dormirían
ejecutarán	ejecutarían
evaluarán	evaluarían
firmarán	firmarían
funcionarán	funcionarían
gestionarán	gestionarían
hablarán	hablarían
imaginarán	imaginarían
incrementarán	incrementarían
instalarán	instalarían
involucrarán	involucrarían
limpiarán	limpiarían
mejorarán	mejorarían
modificarán	modificarían
morirán	morirían
moverán	moverían
permitirán	permitirían
promocionarán	promocionarían
protegerán	protegerían
proveerán	proveerían
reconocerán	reconocerían
respetarán	respetarían
satisfarán	satisfarían
seleccionarán	seleccionarían
solicitarán	solicitarían
soportarán	soportarían
sufrirán	sufrirían
tomarán	tomarían
tratarán	tratarían
visitarán	visitarían
volarán	volarían
volverán	volverían
