actuado	actuamos
administrado	administramos
ampliado	ampliamos
aparecido	aparecimos
atendido	atendimos
atraído	atrajimos
buscado	buscamos
caminado	caminamos
cerrado	cerramos
comprado	compramos
comprendido	comprendimos
conducido	condujimos
conocido	conocimos
conseguido	conseguimos
contenido	contuvimos
cubierto	cubrimos
cumplido	cumplimos
dependido	dependimos
desarrollado	desarrollamos
descargado	descargamos
ejecutado	ejecutamos
eliminado	eliminamos
enfrentado	enfrentamos
escuchado	escuchamos
esperado	esperamos
fallado	fallamos
impedido	impedimos
integrado	integramos
investigado	investigamos
ido	fuimos
limpiado	limpiamos
llevado	llevamos
muerto	morimos
obtenido	obtuvimos
olvidado	olvidamos
operado	operamos
permanecido	permanecimos
prestado	prestamos
producido	produjimos
reconocido	reconocimos
roto	rompimos
sacado	sacamos
satisfecho	satisficimos
sentado	sentamos
sentido	sentimos
sido	fuimos
soportado	soportamos
terminado	terminamos
visto	vimos
visitado	visitamos
