abristeis	abrirá
accedisteis	accederá
acelerasteis	acelerará
acordasteis	acordará
alcanzasteis	alcanzará
asegurasteis	asegurará
atendisteis	atenderá
ayudasteis	ayudará
cambiasteis	cambiará
caminasteis	caminará
completasteis	completará
considerasteis	considerará
cooperasteis	cooperará
creasteis	creará
disteis	dará
descubristeis	descubrirá
detuvisteis	detendrá
disfrutasteis	disfrutará
ejecutasteis	ejecutará
elegisteis	elegirá
empezasteis	empezará
enseñasteis	enseñará
esperasteis	esperará
estuvisteis	estará
estudiasteis	estudiará
generasteis	generará
fuisteis	irá
llamasteis	llamará
llegasteis	llegará
matasteis	matará
mirasteis	mirará
ocurristeis	ocurrirá
olvidasteis	olvidará
parasteis	parará
parecisteis	parecerá
permitisteis	permitirá
preparasteis	preparará
respetasteis	respetará
robasteis	robará
sacasteis	sacará
seguisteis	seguirá
sentisteis	sentirá
sobrevivisteis	sobrevivirá
supervisasteis	supervisará
tocasteis	tocará
trabajasteis	trabajará
trajisteis	traerá
visteis	verá
visitasteis	visitará
volasteis	volará
