aborda	abordabas
administra	administrabas
analiza	analizabas
asiste	asistías
baila	bailabas
casa	casabas
celebra	celebrabas
comienza	comenzabas
comprende	comprendías
concluye	concluías
controla	controlabas
coordina	coordinabas
corta	cortabas
designa	designabas
elige	elegías
enseña	enseñabas
estudia	estudiabas
evita	evitabas
explica	explicabas
expresa	expresabas
facilita	facilitabas
firma	firmabas
formula	formulabas
hace	hacías
inicia	iniciabas
investiga	investigabas
involucra	involucrabas
limita	limitabas
maneja	manejabas
modifica	modificabas
mueve	movías
observa	observabas
olvida	olvidabas
produce	producías
queda	quedabas
recibe	recibías
reconoce	reconocías
regresa	regresabas
requiere	requerías
roba	robabas
satisface	satisfacías
selecciona	seleccionabas
sienta	sentabas
siente	sentías
señala	señalabas
toca	tocabas
trabaja	trabajabas
verifica	verificabas
vive	vivías
vota	votabas
