acuerdo	acordabas
adopto	adoptabas
agradezco	agradecías
bailo	bailabas
busco	buscabas
canto	cantabas
comienzo	comenzabas
comparto	compartías
confirmo	confirmabas
consisto	consistías
doy	dabas
digo	decías
descubro	descubrías
destruyo	destruías
detengo	detenías
dirijo	dirigías
empiezo	empezabas
enseño	enseñabas
entro	entrabas
escapo	escapabas
escribo	escribías
evado	evadías
evito	evitabas
existo	existías
expreso	expresabas
firmo	firmabas
garantizo	garantizabas
gestiono	gestionabas
hago	hacías
imagino	imaginabas
implico	implicabas
indico	indicabas
invierto	invertías
limpio	limpiabas
paro	parabas
puedo	podías
preservo	preservabas
presto	prestabas
protejo	protegías
recuerdo	recordabas
refiero	referías
resuelvo	resolvías
siento	sentabas
soporto	soportabas
sufro	sufrías
sugiero	sugerías
tengo	tenías
tomo	tomabas
verifico	verificabas
visito	visitabas
