accedió	accedimos
actuó	actuamos
amplió	ampliamos
aprendió	aprendimos
asistió	asistimos
aumentó	aumentamos
causó	causamos
comprendió	comprendimos
confió	confiamos
contó	contamos
controló	controlamos
creyó	creímos
cumplió	cumplimos
dijo	dijimos
definió	definimos
desarrolló	desarrollamos
destruyó	destruimos
dirigió	dirigimos
eliminó	eliminamos
entró	entramos
escapó	escapamos
exploró	exploramos
firmó	firmamos
habilitó	habilitamos
incluyó	incluimos
indicó	indicamos
investigó	investigamos
involucró	involucramos
leyó	leímos
llamó	llamamos
midió	medimos
mostró	mostramos
observó	observamos
olvidó	olvidamos
organizó	organizamos
participó	participamos
permaneció	permanecimos
protegió	protegimos
recogió	recogimos
reconoció	reconocimos
reemplazó	reemplazamos
refirió	referimos
respondió	respondimos
robó	robamos
seleccionó	seleccionamos
sirvió	servimos
solicitó	solicitamos
soportó	soportamos
vino	vinimos
vivió	vivimos
