accedía	accedimos
apoyaba	apoyamos
buscaba	buscamos
cantaba	cantamos
conocía	conocimos
conservaba	conservamos
consistía	consistimos
consolidaba	consolidamos
creaba	creamos
empezaba	empezamos
enfrentaba	enfrentamos
evadía	evadimos
examinaba	examinamos
existía	existimos
explicaba	explicamos
firmaba	firmamos
fortalecía	fortalecimos
gastaba	gastamos
guardaba	guardamos
hablaba	hablamos
imponía	impusimos
incorporaba	incorporamos
indicaba	indicamos
jugaba	jugamos
limpiaba	limpiamos
lloraba	lloramos
olvidaba	olvidamos
paraba	paramos
partía	partimos
podía	pudimos
preparaba	preparamos
prevenía	previnimos
promocionaba	promocionamos
proponía	propusimos
proporcionaba	proporcionamos
quedaba	quedamos
reforzaba	reforzamos
requería	requerimos
respetaba	respetamos
revisaba	revisamos
sacaba	sacamos
salía	salimos
salvaba	salvamos
solicitaba	solicitamos
sumaba	sumamos
unía	unimos
utilizaba	utilizamos
vendía	vendimos
verificaba	verificamos
viajaba	viajamos
