abandonaron	abandonarás
aceleraron	acelerarás
adquirieron	adquirirás
asistieron	asistirás
asumieron	asumirás
atendieron	atenderás
cambiaron	cambiarás
cantaron	cantarás
combatieron	combatirás
completaron	completarás
condujeron	conducirás
consideraron	considerarás
consolidaron	consolidarás
construyeron	construirás
convirtieron	convertirás
cooperaron	cooperarás
dieron	darás
desarrollaron	desarrollarás
determinaron	determinarás
discutieron	discutirás
ejercieron	ejercerás
elaboraron	elaborarás
encontraron	encontrarás
enfrentaron	enfrentarás
evitaron	evitarás
fallaron	fallarás
firmaron	firmarás
fomentaron	fomentarás
formularon	formularás
fortalecieron	fortalecerás
habilitaron	habilitarás
invirtieron	invertirás
investigaron	investigarás
limpiaron	limpiarás
llegaron	llegarás
localizaron	localizarás
mejoraron	mejorarás
observaron	observarás
ocurrieron	ocurrirás
pararon	pararás
preguntaron	preguntarás
refirieron	referirás
resolvieron	resolverás
sacaron	sacarás
salieron	saldrás
sintieron	sentirás
superaron	superarás
unieron	unirás
vieron	verás
viajaron	viajarás
