acceder	accedíais
acordar	acordabais
adoptar	adoptabais
adquirir	adquiríais
aprender	aprendíais
atender	atendíais
aumentar	aumentabais
ayudar	ayudabais
buscar	buscabais
caer	caíais
causar	causabais
celebrar	celebrabais
conducir	conducíais
consolidar	consolidabais
contar	contabais
coordinar	coordinabais
decir	decíais
destacar	destacabais
elaborar	elaborabais
evitar	evitabais
explorar	explorabais
fomentar	fomentabais
formar	formabais
gestionar	gestionabais
incluir	incluíais
instalar	instalabais
leer	leíais
matar	matabais
mejorar	mejorabais
mirar	mirabais
oír	oíais
pagar	pagabais
pasar	pasabais
pensar	pensabais
presentar	presentabais
proporcionar	proporcionabais
publicar	publicabais
realizar	realizabais
reconocer	reconocíais
reducir	reducíais
reforzar	reforzabais
representar	representabais
salir	salíais
salvar	salvabais
satisfacer	satisfacíais
sentir	sentíais
servir	servíais
tocar	tocabais
usar	usabais
utilizar	utilizabais
