actuamos	actuaré
administramos	administraré
animamos	animaré
atendemos	atenderé
cambiamos	cambiaré
confirmamos	confirmaré
conocemos	conoceré
consideramos	consideraré
contamos	contaré
convertimos	convertiré
cuidamos	cuidaré
damos	daré
detenemos	detendré
ejecutamos	ejecutaré
ejercemos	ejerceré
elegimos	elegiré
enseñamos	enseñaré
esperamos	esperaré
evaluamos	evaluaré
examinamos	examinaré
existimos	existiré
firmamos	firmaré
fortalecemos	fortaleceré
funcionamos	funcionaré
gestionamos	gestionaré
hacemos	haré
informamos	informaré
introducimos	introduciré
invertimos	invertiré
investigamos	investigaré
vamos	iré
llegamos	llegaré
lloramos	lloraré
matamos	mataré
movemos	moveré
olvidamos	olvidaré
organizamos	organizaré
oímos	oiré
preservamos	preservaré
promovemos	promoveré
recogemos	recogeré
recuperamos	recuperaré
regresamos	regresaré
relacionamos	relacionaré
respetamos	respetaré
rompemos	romperé
seguimos	seguiré
señalamos	señalaré
terminamos	terminaré
trabajamos	trabajaré
