abierto	abríamos
acordado	acordábamos
administrado	administrábamos
adquirido	adquiríamos
aplicado	aplicábamos
asegurado	asegurábamos
asumido	asumíamos
averiguado	averiguábamos
añadido	añadíamos
bailado	bailábamos
caminado	caminábamos
comprobado	comprobábamos
concluido	concluíamos
contribuido	contribuíamos
definido	definíamos
demostrado	demostrábamos
disfrutado	disfrutábamos
escrito	escribíamos
establecido	establecíamos
evitado	evitábamos
examinado	examinábamos
explicado	explicábamos
financiado	financiábamos
firmado	firmábamos
fomentado	fomentábamos
formulado	formulábamos
gastado	gastábamos
impedido	impedíamos
implicado	implicábamos
involucrado	involucrábamos
jugado	jugábamos
limpiado	limpiábamos
logrado	lográbamos
luchado	luchábamos
mejorado	mejorábamos
muerto	moríamos
ofrecido	ofrecíamos
partido	partíamos
permitido	permitíamos
puesto	poníamos
propuesto	proponíamos
recogido	recogíamos
reconocido	reconocíamos
revisado	revisábamos
seguido	seguíamos
servido	servíamos
soportado	soportábamos
tenido	teníamos
vivido	vivíamos
vuelto	volvíamos
