aparecía	aparecieron
aumentaba	aumentaron
añadía	añadieron
cambiaba	cambiaron
compraba	compraron
conseguía	consiguieron
controlaba	controlaron
coordinaba	coordinaron
corría	corrieron
defendía	defendieron
definía	definieron
demostraba	demostraron
descargaba	descargaron
describía	describieron
disfrutaba	disfrutaron
empezaba	empezaron
escribía	escribieron
escuchaba	escucharon
fomentaba	fomentaron
fortalecía	fortalecieron
ganaba	ganaron
incrementaba	incrementaron
indicaba	indicaron
informaba	informaron
iniciaba	iniciaron
intentaba	intentaron
introducía	introdujeron
llegaba	llegaron
llevaba	llevaron
localizaba	localizaron
mataba	mataron
medía	midieron
mostraba	mostraron
organizaba	organizaron
pensaba	pensaron
presentaba	presentaron
prevenía	previnieron
reconocía	reconocieron
recuperaba	recuperaron
relacionaba	relacionaron
rompía	rompieron
satisfacía	satisficieron
sentaba	sentaron
servía	sirvieron
solicitaba	solicitaron
sufría	sufrieron
sumaba	sumaron
tenía	tuvieron
terminaba	terminaron
volvía	volvieron
