abordando	abordaría
abriendo	abriría
accediendo	accedería
alcanzando	alcanzaría
apareciendo	aparecería
aplicando	aplicaría
aprendiendo	aprendería
aprovechando	aprovecharía
asegurando	aseguraría
ayudando	ayudaría
cayendo	caería
compartiendo	compartiría
confiando	confiaría
confirmando	confirmaría
conociendo	conocería
deteniendo	detendría
determinando	determinaría
discutiendo	discutiría
enfrentando	enfrentaría
enseñando	enseñaría
enviando	enviaría
expresando	expresaría
facilitando	facilitaría
fallando	fallaría
habilitando	habilitaría
haciendo	haría
llegando	llegaría
llevando	llevaría
logrando	lograría
matando	mataría
modificando	modificaría
observando	observaría
pudiendo	podría
poniendo	pondría
preparando	prepararía
protegiendo	protegería
quedando	quedaría
realizando	realizaría
reconociendo	reconocería
recordando	recordaría
reduciendo	reduciría
respetando	respetaría
robando	robaría
sacando	sacaría
saliendo	saldría
solicitando	solicitaría
tocando	tocaría
tratando	trataría
viniendo	vendría
votando	votaría
