abandonar	abandonarías
aprobar	aprobarías
aumentar	aumentarías
averiguar	averiguarías
buscar	buscarías
caminar	caminarías
conducir	conducirías
consistir	consistirías
cuidar	cuidarías
dar	darías
decidir	decidirías
decir	dirías
defender	defenderías
demostrar	demostrarías
dirigir	dirigirías
ejecutar	ejecutarías
entrar	entrarías
escribir	escribirías
explicar	explicarías
formar	formarías
formular	formularías
funcionar	funcionarías
garantizar	garantizarías
implicar	implicarías
incluir	incluirías
mantener	mantendrías
necesitar	necesitarías
operar	operarías
organizar	organizarías
parar	pararías
participar	participarías
pedir	pedirías
presentar	presentarías
prestar	prestarías
prevenir	prevendrías
producir	producirías
promocionar	promocionarías
promover	promoverías
proponer	propondrías
proporcionar	proporcionarías
reconocer	reconocerías
recordar	recordarías
referir	referirías
regresar	regresarías
representar	representarías
requerir	requerirías
seguir	seguirías
usar	usarías
vender	venderías
verificar	verificarías
