aceleraría	aceleraríamos
animaría	animaríamos
apoyaría	apoyaríamos
aumentaría	aumentaríamos
casaría	casaríamos
compartiría	compartiríamos
comprendería	comprenderíamos
concluiría	concluiríamos
consideraría	consideraríamos
consultaría	consultaríamos
contendría	contendríamos
cortaría	cortaríamos
defendería	defenderíamos
describiría	describiríamos
destruiría	destruiríamos
detendría	detendríamos
disfrutaría	disfrutaríamos
empezaría	empezaríamos
entraría	entraríamos
enviaría	enviaríamos
evadiría	evadiríamos
existiría	existiríamos
explicaría	explicaríamos
fallaría	fallaríamos
firmaría	firmaríamos
formaría	formaríamos
generaría	generaríamos
habría	habríamos
habilitaría	habilitaríamos
haría	haríamos
investigaría	investigaríamos
limpiaría	limpiaríamos
llegaría	llegaríamos
llevaría	llevaríamos
localizaría	localizaríamos
lucharía	lucharíamos
pediría	pediríamos
permitiría	permitiríamos
prepararía	prepararíamos
presentaría	presentaríamos
recordaría	recordaríamos
reduciría	reduciríamos
regresaría	regresaríamos
representaría	representaríamos
requeriría	requeriríamos
seguiría	seguiríamos
sobreviviría	sobreviviríamos
sufriría	sufriríamos
tocaría	tocaríamos
visitaría	visitaríamos
