abandono	abandonarás
accedo	accederás
acelero	acelerarás
actúo	actuarás
aparezco	aparecerás
aseguro	asegurarás
ayudo	ayudarás
cierro	cerrarás
completo	completarás
consigo	conseguirás
conservo	conservarás
cuento	contarás
contribuyo	contribuirás
controlo	controlarás
convierto	convertirás
cuido	cuidarás
doy	darás
defiendo	defenderás
desarrollo	desarrollarás
descargo	descargarás
describo	describirás
descubro	descubrirás
designo	designarás
escribo	escribirás
evalúo	evaluarás
firmo	firmarás
fomento	fomentarás
formo	formarás
garantizo	garantizarás
he	habrás
informo	informarás
intento	intentarás
investigo	investigarás
olvido	olvidarás
paso	pasarás
pongo	pondrás
presto	prestarás
promuevo	promoverás
recibo	recibirás
requiero	requerirás
resuelvo	resolverás
sé	sabrás
selecciono	seleccionarás
sobrevivo	sobrevivirás
sugiero	sugerirás
supero	superarás
tengo	tendrás
trabajo	trabajarás
uso	usarás
viajo	viajarás
