aceptaban	aceptaría
administraban	administraría
ampliaban	ampliaría
aparecían	aparecería
aseguraban	aseguraría
asistían	asistiría
asumían	asumiría
atraían	atraería
aumentaban	aumentaría
causaban	causaría
conservaban	conservaría
consideraban	consideraría
controlaban	controlaría
convertían	convertiría
dejaban	dejaría
desarrollaban	desarrollaría
describían	describiría
empezaban	empezaría
entraban	entraría
escribían	escribiría
fallaban	fallaría
fortalecían	fortalecería
imaginaban	imaginaría
incluían	incluiría
informaban	informaría
instalaban	instalaría
jugaban	jugaría
llamaban	llamaría
llevaban	llevaría
luchaban	lucharía
mejoraban	mejoraría
modificaban	modificaría
paraban	pararía
pedían	pediría
preguntaban	preguntaría
producían	produciría
promovían	promovería
proponían	propondría
quedaban	quedaría
realizaban	realizaría
requerían	requeriría
salían	saldría
sentían	sentiría
superaban	superaría
supervisaban	supervisaría
vendían	vendería
veían	vería
vivían	viviría
volaban	volaría
volvían	volvería
