aceleraste	aceleraron
aceptaste	aceptaron
alentaste	alentaron
asististe	asistieron
averiguaste	averiguaron
bebiste	bebieron
cantaste	cantaron
celebraste	celebraron
cerraste	cerraron
combatiste	combatieron
comprendiste	comprendieron
confiaste	confiaron
conservaste	conservaron
cooperaste	cooperaron
cortaste	cortaron
cuidaste	cuidaron
dejaste	dejaron
dependiste	dependieron
determinaste	determinaron
discutiste	discutieron
evadiste	evadieron
gestionaste	gestionaron
habilitaste	habilitaron
hablaste	hablaron
hiciste	hicieron
incluiste	incluyeron
indicaste	indicaron
introdujiste	introdujeron
llegaste	llegaron
mencionaste	mencionaron
moriste	murieron
ocurriste	ocurrieron
pareciste	parecieron
perdiste	perdieron
pusiste	pusieron
preguntaste	preguntaron
preparaste	prepararon
preservaste	preservaron
probaste	probaron
proporcionaste	proporcionaron
proveíste	proveyeron
recogiste	recogieron
resolviste	resolvieron
revisaste	revisaron
robaste	robaron
tuviste	tuvieron
tomaste	tomaron
trajiste	trajeron
verificaste	verificaron
viajaste	viajaron
