abandonaste	abandonarán
aceleraste	acelerarán
acordaste	acordarán
agradeciste	agradecerán
aprobaste	aprobarán
ayudaste	ayudarán
caminaste	caminarán
causaste	causarán
celebraste	celebrarán
confiaste	confiarán
conservaste	conservarán
corriste	correrán
creciste	crecerán
desarrollaste	desarrollarán
desempeñaste	desempeñarán
dirigiste	dirigirán
disfrutaste	disfrutarán
empezaste	empezarán
escapaste	escaparán
escuchaste	escucharán
estableciste	establecerán
fallaste	fallarán
fomentaste	fomentarán
funcionaste	funcionarán
habilitaste	habilitarán
hablaste	hablarán
informaste	informarán
iniciaste	iniciarán
llegaste	llegarán
llevaste	llevarán
mencionaste	mencionarán
moviste	moverán
olvidaste	olvidarán
pediste	pedirán
permitiste	permitirán
preguntaste	preguntarán
prestaste	prestarán
promoviste	promoverán
protegiste	protegerán
proveíste	proveerán
recogiste	recogerán
referiste	referirán
rompiste	romperán
sacaste	sacarán
sentiste	sentirán
sufriste	sufrirán
sugeriste	sugerirán
trabajaste	trabajarán
viste	verán
viajaste	viajarán
