abandonaban	abandonaré
acordaban	acordaré
alentaban	alentaré
aplicaban	aplicaré
apoyaban	apoyaré
aprendían	aprenderé
aumentaban	aumentaré
comenzaban	comenzaré
completaban	completaré
conseguían	conseguiré
conservaban	conservaré
consideraban	consideraré
consultaban	consultaré
continuaban	continuaré
coordinaban	coordinaré
corrían	correré
cubrían	cubriré
dejaban	dejaré
designaban	designaré
determinaban	determinaré
disfrutaban	disfrutaré
eliminaban	eliminaré
encontraban	encontraré
esperaban	esperaré
estudiaban	estudiaré
formulaban	formularé
ganaban	ganaré
guardaban	guardaré
hablaban	hablaré
indicaban	indicaré
invertían	invertiré
llamaban	llamaré
llevaban	llevaré
mantenían	mantendré
mataban	mataré
mencionaban	mencionaré
modificaban	modificaré
morían	moriré
paraban	pararé
pedían	pediré
perdían	perderé
ponían	pondré
promocionaban	promocionaré
recogían	recogeré
referían	referiré
señalaban	señalaré
supervisaban	supervisaré
terminaban	terminaré
trataban	trataré
viajaban	viajaré
