abordar	abordaron
abrir	abrieron
adoptar	adoptaron
aplicar	aplicaron
caer	cayeron
caminar	caminaron
completar	completaron
concluir	concluyeron
conocer	conocieron
considerar	consideraron
contar	contaron
cortar	cortaron
desarrollar	desarrollaron
destacar	destacaron
destruir	destruyeron
determinar	determinaron
elegir	eligieron
entender	entendieron
estar	estuvieron
estudiar	estudiaron
evaluar	evaluaron
examinar	examinaron
expresar	expresaron
financiar	financiaron
formular	formularon
habilitar	habilitaron
hablar	hablaron
imaginar	imaginaron
implicar	implicaron
informar	informaron
llamar	llamaron
localizar	localizaron
lograr	lograron
luchar	lucharon
matar	mataron
obtener	obtuvieron
ofrecer	ofrecieron
probar	probaron
promocionar	promocionaron
promover	promovieron
recoger	recogieron
reconocer	reconocieron
reforzar	reforzaron
resolver	resolvieron
revisar	revisaron
romper	rompieron
saber	supieron
seguir	siguieron
tratar	trataron
unir	unieron
