amplían	ampliaré
apoyan	apoyaré
aprenden	aprenderé
aprovechan	aprovecharé
aseguran	aseguraré
atraen	atraeré
beben	beberé
causan	causaré
celebran	celebraré
completan	completaré
compran	compraré
comprenden	comprenderé
consiguen	conseguiré
consolidan	consolidaré
cuentan	contaré
contienen	contendré
cooperan	cooperaré
cortan	cortaré
deciden	decidiré
dicen	diré
dependen	dependeré
disfrutan	disfrutaré
eliminan	eliminaré
esperan	esperaré
explican	explicaré
exploran	exploraré
fortalecen	fortaleceré
ganan	ganaré
guardan	guardaré
incluyen	incluiré
limitan	limitaré
llegan	llegaré
miden	mediré
mueven	moveré
parten	partiré
proveen	proveeré
publican	publicaré
refieren	referiré
relacionan	relacionaré
respetan	respetaré
revisan	revisaré
rompen	romperé
siguen	seguiré
sienten	sentiré
sugieren	sugeriré
venden	venderé
viajan	viajaré
visitan	visitaré
viven	viviré
vuelven	volveré
