adquieres/adquirís	adquiría
alientas/alentás	alentaba
amplías/ampliás	ampliaba
aplicas/aplicás	aplicaba
asumes/asumís	asumía
atiendes/atendés	atendía
avanzas/avanzás	avanzaba
ayudas/ayudás	ayudaba
cambias/cambiás	cambiaba
cantas/cantás	cantaba
casas/casás	casaba
causas/causás	causaba
combates/combatís	combatía
consigues/conseguís	conseguía
cooperas/cooperás	cooperaba
corres/corrés	corría
cuidas/cuidás	cuidaba
dices/decís	decía
defines/definís	definía
desarrollas/desarrollás	desarrollaba
desempeñas/desempeñás	desempeñaba
encuentras/encontrás	encontraba
entras/entrás	entraba
escapas/escapás	escapaba
estás	estaba
evades/evadís	evadía
evitas/evitás	evitaba
examinas/examinás	examinaba
guardas/guardás	guardaba
has	había
impides/impedís	impedía
indicas/indicás	indicaba
inicias/iniciás	iniciaba
inviertes/invertís	invertía
manejas/manejás	manejaba
preparas/preparás	preparaba
previenes/prevenís	prevenía
promueves/promovés	promovía
proporcionas/proporcionás	proporcionaba
recibes/recibís	recibía
reconoces/reconocés	reconocía
reduces/reducís	reducía
resuelves/resolvés	resolvía
respondes/respondés	respondía
robas/robás	robaba
seleccionas/seleccionás	seleccionaba
sientes/sentís	sentía
tocas/tocás	tocaba
visitas/visitás	visitaba
votas/votás	votaba
