acelera	aceleramos
amplía	ampliamos
aplica	aplicamos
asiste	asistimos
bebe	bebemos
cambia	cambiamos
canta	cantamos
comprende	comprendemos
confirma	confirmamos
continúa	continuamos
cree	creemos
decide	decidimos
demuestra	demostramos
desarrolla	desarrollamos
descarga	descargamos
describe	describimos
descubre	descubrimos
destruye	destruimos
dirige	dirigimos
elige	elegimos
existe	existimos
gasta	gastamos
genera	generamos
ha	hemos
impide	impedimos
invierte	invertimos
involucra	involucramos
lucha	luchamos
maneja	manejamos
mantiene	mantenemos
mejora	mejoramos
menciona	mencionamos
muestra	mostramos
observa	observamos
olvida	olvidamos
participa	participamos
pasa	pasamos
produce	producimos
publica	publicamos
recoge	recogemos
reduce	reducimos
refiere	referimos
roba	robamos
saca	sacamos
selecciona	seleccionamos
sienta	sentamos
señala	señalamos
sobrevive	sobrevivimos
supera	superamos
termina	terminamos
