actuó	actuaréis
adoptó	adoptaréis
adquirió	adquiriréis
alentó	alentaréis
analizó	analizaréis
apareció	apareceréis
asistió	asistiréis
cayó	caeréis
compartió	compartiréis
concluyó	concluiréis
consultó	consultaréis
continuó	continuaréis
coordinó	coordinaréis
creó	crearéis
cubrió	cubriréis
definió	definiréis
descargó	descargaréis
determinó	determinaréis
discutió	discutiréis
estableció	estableceréis
existió	existiréis
explicó	explicaréis
facilitó	facilitaréis
formuló	formularéis
guardó	guardaréis
hizo	haréis
integró	integraréis
intentó	intentaréis
introdujo	introduciréis
midió	mediréis
mejoró	mejoraréis
miró	miraréis
modificó	modificaréis
mostró	mostraréis
operó	operaréis
permaneció	permaneceréis
pudo	podréis
preparó	prepararéis
preservó	preservaréis
previno	prevendréis
reemplazó	reemplazaréis
relacionó	relacionaréis
rompió	romperéis
sacó	sacaréis
fue	seréis
superó	superaréis
trabajó	trabajaréis
trajo	traeréis
vino	vendréis
vio	veréis
