abandonaba	abandonaban
actuaba	actuaban
adoptaba	adoptaban
alentaba	alentaban
aumentaba	aumentaban
añadía	añadían
buscaba	buscaban
cantaba	cantaban
comía	comían
compartía	compartían
completaba	completaban
comprobaba	comprobaban
conocía	conocían
consultaba	consultaban
contaba	contaban
cooperaba	cooperaban
destacaba	destacaban
destruía	destruían
detenía	detenían
disfrutaba	disfrutaban
escuchaba	escuchaban
establecía	establecían
existía	existían
explicaba	explicaban
fortalecía	fortalecían
garantizaba	garantizaban
imaginaba	imaginaban
imponía	imponían
incrementaba	incrementaban
integraba	integraban
jugaba	jugaban
lograba	lograban
miraba	miraban
mostraba	mostraban
movía	movían
observaba	observaban
ofrecía	ofrecían
pagaba	pagaban
presentaba	presentaban
preservaba	preservaban
protegía	protegían
realizaba	realizaban
refería	referían
robaba	robaban
rompía	rompían
salía	salían
seguía	seguían
sobrevivía	sobrevivían
sumaba	sumaban
visitaba	visitaban
