aceleraban	acelerarán
anunciaban	anunciarán
aparecían	aparecerán
aplicaban	aplicarán
aprobaban	aprobarán
completaban	completarán
comprendían	comprenderán
confirmaban	confirmarán
conseguían	conseguirán
contenían	contendrán
controlaban	controlarán
cortaban	cortarán
decidían	decidirán
desarrollaban	desarrollarán
destacaban	destacarán
dormían	dormirán
ejecutaban	ejecutarán
empezaban	empezarán
establecían	establecerán
estudiaban	estudiarán
evaluaban	evaluarán
explicaban	explicarán
fomentaban	fomentarán
hablaban	hablarán
imaginaban	imaginarán
instalaban	instalarán
leían	leerán
llegaban	llegarán
luchaban	lucharán
medían	medirán
operaban	operarán
pagaban	pagarán
pedían	pedirán
pensaban	pensarán
preguntaban	preguntarán
quedaban	quedarán
recibían	recibirán
reemplazaban	reemplazarán
representaban	representarán
requerían	requerirán
respondían	responderán
seguían	seguirán
servían	servirán
soportaban	soportarán
sufrían	sufrirán
sugerían	sugerirán
sumaban	sumarán
terminaban	terminarán
tomaban	tomarán
veían	verán
