abría	abríais
adoptaba	adoptabais
agradecía	agradecíais
aplicaba	aplicabais
aprobaba	aprobabais
atendía	atendíais
aumentaba	aumentabais
bailaba	bailabais
caía	caíais
caminaba	caminabais
casaba	casabais
cerraba	cerrabais
comenzaba	comenzabais
conducía	conducíais
conocía	conocíais
conseguía	conseguíais
coordinaba	coordinabais
creaba	creabais
dejaba	dejabais
dependía	dependíais
determinaba	determinabais
ejecutaba	ejecutabais
ejercía	ejercíais
empezaba	empezabais
enviaba	enviabais
estaba	estabais
facilitaba	facilitabais
imponía	imponíais
incorporaba	incorporabais
incrementaba	incrementabais
luchaba	luchabais
modificaba	modificabais
moría	moríais
ofrecía	ofrecíais
olvidaba	olvidabais
organizaba	organizabais
podía	podíais
preguntaba	preguntabais
presentaba	presentabais
reconocía	reconocíais
recordaba	recordabais
regresaba	regresabais
representaba	representabais
respetaba	respetabais
salía	salíais
salvaba	salvabais
seleccionaba	seleccionabais
señalaba	señalabais
verificaba	verificabais
volvía	volvíais
