aceptabas	aceptaban
administrabas	administraban
ampliabas	ampliaban
asistías	asistían
atendías	atendían
aumentabas	aumentaban
avanzabas	avanzaban
caías	caían
cambiabas	cambiaban
celebrabas	celebraban
confirmabas	confirmaban
consistías	consistían
continuabas	continuaban
cuidabas	cuidaban
decidías	decidían
destacabas	destacaban
dirigías	dirigían
dormías	dormían
ejecutabas	ejecutaban
elaborabas	elaboraban
evadías	evadían
ganabas	ganaban
garantizabas	garantizaban
habías	habían
hablabas	hablaban
identificabas	identificaban
instalabas	instalaban
investigabas	investigaban
llevabas	llevaban
modificabas	modificaban
mostrabas	mostraban
movías	movían
observabas	observaban
pagabas	pagaban
participabas	participaban
partías	partían
preparabas	preparaban
publicabas	publicaban
realizabas	realizaban
recibías	recibían
requerías	requerían
respetabas	respetaban
revisabas	revisaban
robabas	robaban
satisfacías	satisfacían
sumabas	sumaban
tocabas	tocaban
utilizabas	utilizaban
volabas	volaban
volvías	volvían
