abandonará	abandonarían
abrirá	abrirían
agradecerá	agradecerían
aplicará	aplicarían
cantará	cantarían
conseguirá	conseguirían
consultará	consultarían
contendrá	contendrían
convertirá	convertirían
crecerá	crecerían
desarrollará	desarrollarían
encontrará	encontrarían
enfrentará	enfrentarían
facilitará	facilitarían
fallará	fallarían
fomentará	fomentarían
formará	formarían
gestionará	gestionarían
guardará	guardarían
habrá	habrían
habilitará	habilitarían
hablará	hablarían
indicará	indicarían
iniciará	iniciarían
intentará	intentarían
investigará	investigarían
modificará	modificarían
mostrará	mostrarían
olvidará	olvidarían
organizará	organizarían
pasará	pasarían
pedirá	pedirían
permitirá	permitirían
podrá	podrían
promoverá	promoverían
propondrá	propondrían
recordará	recordarían
reemplazará	reemplazarían
referirá	referirían
reforzará	reforzarían
requerirá	requerirían
resolverá	resolverían
sentará	sentarían
solicitará	solicitarían
soportará	soportarían
sufrirá	sufrirían
tendrá	tendrían
unirá	unirían
vendrá	vendrían
viajará	viajarían
