abordaba	abordaste
administraba	administraste
adoptaba	adoptaste
aplicaba	aplicaste
avanzaba	avanzaste
averiguaba	averiguaste
bebía	bebiste
cambiaba	cambiaste
comenzaba	comenzaste
confirmaba	confirmaste
conseguía	conseguiste
cortaba	cortaste
creaba	creaste
daba	diste
desempeñaba	desempeñaste
dirigía	dirigiste
disfrutaba	disfrutaste
empezaba	empezaste
facilitaba	facilitaste
fallaba	fallaste
guardaba	guardaste
informaba	informaste
integraba	integraste
introducía	introdujiste
llegaba	llegaste
mataba	mataste
ocurría	ocurriste
olvidaba	olvidaste
oía	oíste
participaba	participaste
pedía	pediste
ponía	pusiste
prestaba	prestaste
prevenía	previniste
producía	produjiste
proponía	propusiste
recibía	recibiste
reemplazaba	reemplazaste
requería	requeriste
respetaba	respetaste
respondía	respondiste
sabía	supiste
era	fuiste
soportaba	soportaste
superaba	superaste
trataba	trataste
utilizaba	utilizaste
vendía	vendiste
venía	viniste
volvía	volviste
