aceleraba	aceleramos
aceptaba	aceptamos
actuaba	actuamos
ampliaba	ampliamos
aseguraba	aseguramos
combatía	combatimos
compraba	compramos
comprobaba	comprobamos
confirmaba	confirmamos
consideraba	consideramos
continuaba	continuamos
contribuía	contribuimos
corría	corrimos
crecía	crecimos
cubría	cubrimos
cumplía	cumplimos
daba	dimos
descubría	descubrimos
discutía	discutimos
ejecutaba	ejecutamos
elegía	elegimos
escapaba	escapamos
esperaba	esperamos
estudiaba	estudiamos
examinaba	examinamos
existía	existimos
explicaba	explicamos
financiaba	financiamos
imponía	impusimos
informaba	informamos
integraba	integramos
investigaba	investigamos
llevaba	llevamos
mantenía	mantuvimos
ofrecía	ofrecimos
olvidaba	olvidamos
organizaba	organizamos
pedía	pedimos
producía	produjimos
reconocía	reconocimos
recordaba	recordamos
reducía	redujimos
sacaba	sacamos
servía	servimos
sobrevivía	sobrevivimos
soportaba	soportamos
tocaba	tocamos
tomaba	tomamos
traía	trajimos
unía	unimos
