acordarías	acordaría
analizarías	analizaría
aplicarías	aplicaría
aprovecharías	aprovecharía
asegurarías	aseguraría
cantarías	cantaría
comprarías	compraría
comprenderías	comprendería
considerarías	consideraría
consolidarías	consolidaría
construirías	construiría
contarías	contaría
cuidarías	cuidaría
cumplirías	cumpliría
defenderías	defendería
disfrutarías	disfrutaría
dormirías	dormiría
ejercerías	ejercería
encontrarías	encontraría
entenderías	entendería
escribirías	escribiría
existirías	existiría
fallarías	fallaría
gastarías	gastaría
imaginarías	imaginaría
impedirías	impediría
incorporarías	incorporaría
informarías	informaría
investigarías	investigaría
involucrarías	involucraría
limpiarías	limpiaría
lucharías	lucharía
medirías	mediría
modificarías	modificaría
oirías	oiría
participarías	participaría
recogerías	recogería
reconocerías	reconocería
relacionarías	relacionaría
robarías	robaría
romperías	rompería
sabrías	sabría
salvarías	salvaría
sentirías	sentiría
serías	sería
soportarías	soportaría
sugerirías	sugeriría
usarías	usaría
venderías	vendería
votarías	votaría
