aceptabais	aceptarán
administrabais	administrarán
atendíais	atenderán
atraíais	atraerán
añadíais	añadirán
compartíais	compartirán
comprendíais	comprenderán
conocíais	conocerán
conseguíais	conseguirán
consultabais	consultarán
contabais	contarán
continuabais	continuarán
convertíais	convertirán
coordinabais	coordinarán
dejabais	dejarán
desarrollabais	desarrollarán
destacabais	destacarán
enseñabais	enseñarán
entrabais	entrarán
estudiabais	estudiarán
evadíais	evadirán
evaluabais	evaluarán
fomentabais	fomentarán
formabais	formarán
fortalecíais	fortalecerán
ganabais	ganarán
gestionabais	gestionarán
imaginabais	imaginarán
incluíais	incluirán
intentabais	intentarán
involucrabais	involucrarán
limitabais	limitarán
limpiabais	limpiarán
manteníais	mantendrán
olvidabais	olvidarán
pedíais	pedirán
pensabais	pensarán
perdíais	perderán
podíais	podrán
preservabais	preservarán
promocionabais	promocionarán
realizabais	realizarán
reemplazabais	reemplazarán
representabais	representarán
robabais	robarán
satisfacíais	satisfarán
seleccionabais	seleccionarán
soportabais	soportarán
terminabais	terminarán
tocabais	tocarán
