abandona	abandonaréis
aborda	abordaréis
anima	animaréis
aplica	aplicaréis
aumenta	aumentaréis
bebe	beberéis
comparte	compartiréis
compra	compraréis
confirma	confirmaréis
conoce	conoceréis
coopera	cooperaréis
cuida	cuidaréis
defiende	defenderéis
define	definiréis
deja	dejaréis
detiene	detendréis
discute	discutiréis
duerme	dormiréis
enseña	enseñaréis
escribe	escribiréis
evade	evadiréis
forma	formaréis
formula	formularéis
gana	ganaréis
implica	implicaréis
indica	indicaréis
lleva	llevaréis
mantiene	mantendréis
mueve	moveréis
olvida	olvidaréis
parece	pareceréis
participa	participaréis
parte	partiréis
pierde	perderéis
presenta	presentaréis
promociona	promocionaréis
recibe	recibiréis
regresa	regresaréis
respeta	respetaréis
revisa	revisaréis
rompe	romperéis
sigue	seguiréis
sobrevive	sobreviviréis
soporta	soportaréis
sugiere	sugeriréis
termina	terminaréis
usa	usaréis
ve	veréis
verifica	verificaréis
visita	visitaréis
