aceptabais	aceptamos
acordabais	acordamos
actuabais	actuamos
administrabais	administramos
aprovechabais	aprovechamos
avanzabais	avanzamos
averiguabais	averiguamos
buscabais	buscamos
causabais	causamos
comenzabais	comenzamos
concluíais	concluimos
considerabais	consideramos
corríais	corrimos
crecíais	crecimos
cuidabais	cuidamos
definíais	definimos
deteníais	detuvimos
dirigíais	dirigimos
elaborabais	elaboramos
eliminabais	eliminamos
esperabais	esperamos
estudiabais	estudiamos
evaluabais	evaluamos
gastabais	gastamos
generabais	generamos
habíais	hubimos
imaginabais	imaginamos
indicabais	indicamos
iniciabais	iniciamos
instalabais	instalamos
invertíais	invertimos
ibais	fuimos
limpiabais	limpiamos
llorabais	lloramos
localizabais	localizamos
medíais	medimos
obteníais	obtuvimos
ocurríais	ocurrimos
perdíais	perdimos
poníais	pusimos
preguntabais	preguntamos
recordabais	recordamos
recuperabais	recuperamos
resolvíais	resolvimos
seleccionabais	seleccionamos
erais	fuimos
soportabais	soportamos
supervisabais	supervisamos
teníais	tuvimos
tratabais	tratamos
