adoptarás	adoptaría
agradecerás	agradecería
alentarás	alentaría
aparecerás	aparecería
aprenderás	aprendería
atenderás	atendería
aumentarás	aumentaría
cantarás	cantaría
cerrarás	cerraría
construirás	construiría
darás	daría
dejarás	dejaría
detendrás	detendría
determinarás	determinaría
dirigirás	dirigiría
discutirás	discutiría
ejecutarás	ejecutaría
elaborarás	elaboraría
encontrarás	encontraría
entrarás	entraría
enviarás	enviaría
escribirás	escribiría
formarás	formaría
habrás	habría
harás	haría
investigarás	investigaría
jugarás	jugaría
llorarás	lloraría
necesitarás	necesitaría
pagarás	pagaría
parecerás	parecería
perderás	perdería
pondrás	pondría
preguntarás	preguntaría
preservarás	preservaría
probarás	probaría
propondrás	propondría
protegerás	protegería
reconocerás	reconocería
relacionarás	relacionaría
representarás	representaría
revisarás	revisaría
salvarás	salvaría
seguirás	seguiría
sumarás	sumaría
superarás	superaría
tratarás	trataría
usarás	usaría
venderás	vendería
volverás	volvería
