abordé	abordamos
abrí	abrimos
adopté	adoptamos
amplié	ampliamos
aprobé	aprobamos
atendí	atendimos
atraje	atrajimos
ayudé	ayudamos
casé	casamos
combatí	combatimos
comí	comimos
consulté	consultamos
convertí	convertimos
creé	creamos
crecí	crecimos
creí	creímos
cumplí	cumplimos
decidí	decidimos
dependí	dependimos
desarrollé	desarrollamos
entendí	entendimos
esperé	esperamos
evalué	evaluamos
expresé	expresamos
gané	ganamos
guardé	guardamos
identifiqué	identificamos
imaginé	imaginamos
incorporé	incorporamos
introduje	introdujimos
involucré	involucramos
llamé	llamamos
llevé	llevamos
logré	logramos
mantuve	mantuvimos
mencioné	mencionamos
ofrecí	ofrecimos
paré	paramos
pasé	pasamos
preparé	preparamos
quedé	quedamos
recuperé	recuperamos
relacioné	relacionamos
robé	robamos
seguí	seguimos
solicité	solicitamos
tomé	tomamos
vendí	vendimos
vine	vinimos
vi	vimos
