abandona	abandonabais
adquiere	adquiríais
aprovecha	aprovechabais
atiende	atendíais
atrae	atraíais
averigua	averiguabais
ayuda	ayudabais
bebe	bebíais
casa	casabais
comparte	compartíais
compra	comprabais
conduce	conducíais
confía	confiabais
conoce	conocíais
construye	construíais
continúa	continuabais
convierte	convertíais
crece	crecíais
cree	creíais
dice	decíais
demuestra	demostrabais
descubre	descubríais
escribe	escribíais
establece	establecíais
evita	evitabais
existe	existíais
imagina	imaginabais
integra	integrabais
mejora	mejorabais
mira	mirabais
modifica	modificabais
olvida	olvidabais
organiza	organizabais
participa	participabais
piensa	pensabais
prueba	probabais
promociona	promocionabais
recuerda	recordabais
recupera	recuperabais
relaciona	relacionabais
resuelve	resolvíais
revisa	revisabais
roba	robabais
sirve	servíais
sugiere	sugeríais
supera	superabais
toca	tocabais
trata	tratabais
une	uníais
vuela	volabais
