abandonábamos	abandonarán
accedíamos	accederán
acordábamos	acordarán
adoptábamos	adoptarán
alcanzábamos	alcanzarán
ampliábamos	ampliarán
asegurábamos	asegurarán
comíamos	comerán
conseguíamos	conseguirán
consistíamos	consistirán
contábamos	contarán
conteníamos	contendrán
creíamos	creerán
defendíamos	defenderán
demostrábamos	demostrarán
descargábamos	descargarán
dirigíamos	dirigirán
entrábamos	entrarán
estudiábamos	estudiarán
existíamos	existirán
facilitábamos	facilitarán
ganábamos	ganarán
generábamos	generarán
hablábamos	hablarán
implicábamos	implicarán
incluíamos	incluirán
incrementábamos	incrementarán
indicábamos	indicarán
intentábamos	intentarán
introducíamos	introducirán
involucrábamos	involucrarán
matábamos	matarán
mejorábamos	mejorarán
parábamos	pararán
pensábamos	pensarán
probábamos	probarán
producíamos	producirán
quedábamos	quedarán
recibíamos	recibirán
referíamos	referirán
reforzábamos	reforzarán
relacionábamos	relacionarán
representábamos	representarán
respetábamos	respetarán
rompíamos	romperán
salíamos	saldrán
satisfacíamos	satisfarán
tocábamos	tocarán
uníamos	unirán
verificábamos	verificarán
