aborda	abordábamos
alcanza	alcanzábamos
alienta	alentábamos
aparece	aparecíamos
aumenta	aumentábamos
averigua	averiguábamos
baila	bailábamos
busca	buscábamos
cae	caíamos
celebra	celebrábamos
comienza	comenzábamos
confirma	confirmábamos
consiste	consistíamos
construye	construíamos
contiene	conteníamos
convierte	convertíamos
corre	corríamos
cree	creíamos
cumple	cumplíamos
da	dábamos
destruye	destruíamos
determina	determinábamos
empieza	empezábamos
escapa	escapábamos
espera	esperábamos
examina	examinábamos
explica	explicábamos
falla	fallábamos
incorpora	incorporábamos
indica	indicábamos
instala	instalábamos
va	íbamos
llama	llamábamos
opera	operábamos
parece	parecíamos
piensa	pensábamos
promueve	promovíamos
protege	protegíamos
recoge	recogíamos
reconoce	reconocíamos
recuerda	recordábamos
recupera	recuperábamos
reduce	reducíamos
reemplaza	reemplazábamos
regresa	regresábamos
representa	representábamos
revisa	revisábamos
rompe	rompíamos
sobrevive	sobrevivíamos
supervisa	supervisábamos
