abordaba	abordaría
administraba	administraría
animaba	animaría
anunciaba	anunciaría
aparecía	aparecería
aplicaba	aplicaría
asistía	asistiría
asumía	asumiría
caminaba	caminaría
consideraba	consideraría
contribuía	contribuiría
cooperaba	cooperaría
daba	daría
dependía	dependería
descargaba	descargaría
descubría	descubriría
destacaba	destacaría
destruía	destruiría
ejecutaba	ejecutaría
entraba	entraría
establecía	establecería
evadía	evadiría
gastaba	gastaría
guardaba	guardaría
iniciaba	iniciaría
integraba	integraría
jugaba	jugaría
lograba	lograría
manejaba	manejaría
modificaba	modificaría
paraba	pararía
permanecía	permanecería
preguntaba	preguntaría
preparaba	prepararía
presentaba	presentaría
prevenía	prevendría
recuperaba	recuperaría
reducía	reduciría
relacionaba	relacionaría
representaba	representaría
requería	requeriría
respondía	respondería
robaba	robaría
satisfacía	satisfaría
sentaba	sentaría
trabajaba	trabajaría
traía	traería
trataba	trataría
unía	uniría
verificaba	verificaría
