abeja	abejita
abuela	abuelita
agua	agüita
ahora	horita
amiga	amiguita
anfíbol	anfibolita
araña	arañita
arca	arquita
ayuda	ayudita
azur	azurita
azur	azurita
azur	azurita
bandera	banderita
bolsa	bolsita
botella	botellita
calesa	calesita
cama	camita
campana	campanita
canción	cancioncita
cara	carita
carta	cartita
casa	casita
cera	cerita
chispa	chispita
cola	colita
columna	columnita
copa	copita
criatura	criaturita
escoba	escobita
escuela	escuelita
estrella	estrellita
figura	figurita
flecha	flechita
gato	gatita
gorra	gorrita
gota	gotita
granja	granjita
guitarra	guitarrita
hallaca	hallaquita
hoja	hojita
leche	lechita
lista	listita
loca	loquita
luz	lucecita
mamada	mamaíta
mamá	mamaíta
mamá	mamita
marca	marquita
masa	masita
moneda	monedita
muñeca	muñequita
música	musiquita
palabra	palabrita
paloma	palomita
panza	pancita
papa	papita
pastilla	pastillita
pata	patita
pava	pavita
pelota	pelotita
perdiz	perdicita
persona	personita
piedra	piedrita
plata	platita
plaza	placita
problema	problemita
programa	programita
puerta	puertita
ratona	ratoncita
ropa	ropita
rosa	rosita
rueda	ruedita
silla	sillita
sopa	sopita
taza	tacita
tierra	tierrita
uva	uvita
uña	uñita
virgen	virgencita
vuelta	vueltita
