abalear	abaleable
abominar	abominable
abonar	abonable
abordar	abordable
acabar	acabable
acatar	acatable
accionar	accionable
aceptar	aceptable
achacar	achacable
aclimatar	aclimatable
acomodar	acomodable
aconsejar	aconsejable
acumular	acumulable
acusar	acusable
adaptar	adaptable
adivinar	adivinable
admirar	admirable
adoptar	adoptable
adorar	adorable
afectar	afectable
agasajar	agasajable
agitar	agitable
agotar	agotable
agradar	agradable
agrupar	agrupable
aguantar	aguantable
ahorcar	ahorcable
aislar	aislable
ajenar	ajenable
ajustar	ajustable
alcanzar	alcanzable
alegar	alegable
alfabetizar	alfabetizable
alienar	alienable
alquilar	alquilable
alterar	alterable
amar	amable
amoldar	amoldable
amortizar	amortizable
ampliar	ampliable
analizar	analizable
aniquilar	aniquilable
anular	anulable
apagar	apagable
apelar	apelable
aplacar	aplacable
aplazar	aplazable
aplicar	aplicable
apreciar	apreciable
apropiar	apropiable
aprovechar	aprovechable
arbitrar	arbitrable
armar	armable
armonizar	armonizable
arrendar	arrendable
arrollar	arrollable
arrugar	arrugable
asegurar	asegurable
asignar	asignable
asimilar	asimilable
asociar	asociable
atacar	atacable
aumentar	aumentable
aunar	aunable
autorizar	autorizable
autorregular	autorregulable
averiguar	averiguable
azotar	azotable
bailar	bailable
calcular	calculable
calificar	calificable
cambiar	cambiable
canalizar	canalizable
canjear	canjeable
cantar	cantable
capitalizar	capitalizable
capitular	capitulable
catalogar	catalogable
censurar	censurable
certificar	certificable
clasificar	clasificable
cobrar	cobrable
codiciar	codiciable
codificar	codificable
coleccionar	coleccionable
combinar	combinable
comerciar	comerciable
comparar	comparable
compare	comparable
compensar	compensable
comprar	comprable
comprobar	comprobable
computar	computable
comunicar	comunicable
conciliar	conciliable
condenar	condenable
condensar	condensable
conectar	conectable
confesar	confesable
confiar	confiable
confiscar	confiscable
confortar	confortable
congelar	congelable
conjeturar	conjeturable
conjugar	conjugable
conmemorar	conmemorable
conmensurar	conmensurable
conmutar	conmutable
conquistar	conquistable
conservar	conservable
considerar	considerable
consolar	consolable
consolidar	consolidable
constatar	constatable
consultar	consultable
contar	contable
contestar	contestable
contrastar	contrastable
controlar	controlable
conversar	conversable
copiar	copiable
cotejar	cotejable
cotizar	cotizable
crear	creable
cristalizar	cristalizable
criticar	criticable
cuantificar	cuantificable
cuestionar	cuestionable
culpar	culpable
cultivar	cultivable
curar	curable
dar	dable
dañar	dañable
declarar	declarable
declinar	declinable
deformar	deformable
degradar	degradable
delegar	delegable
deleitar	deleitable
demandar	demandable
demostrar	demostrable
denunciar	denunciable
deplorar	deplorable
derogar	derogable
desaconsejar	desaconsejable
desagradar	desagradable
desamortizar	desamortizable
desarmar	desarmable
desarrollar	desarrollable
descalificar	descalificable
descartar	descartable
descifrar	descifrable
desdeñar	desdeñable
desear	deseable
desechar	desechable
deslizar	deslizable
desmenuzar	desmenuzable
desmontar	desmontable
divulgar	divulgable
durar	durable
elaborar	elaborable
elegir	elegible
emoción	emocionable
enajenar	enajenable
enjuiciar	enjuiciable
enrollar	enrollable
enunciar	enunciable
enviar	enviable
envidia	envidiable
estar	estable
estimar	estimable
experimentar	experimentable
eyectar	eyectable
ganar	ganable
glorificar	glorificable
graduar	graduable
gravar	gravable
habitar	habitable
helar	helable
honor	honorable
improfanar	improfanable
imputar	imputable
incinerar	incinerable
intercambiar	intercambiable
irritar	irritable
laborar	laborable
lavar	lavable
localizar	localizable
manejar	manejable
maniobrar	maniobrable
narrar	narrable
objetar	objetable
olvidar	olvidable
parcelar	parcelable
pensar	pensable
plegar	plegable
practicar	practicable
probar	probable
proporcionar	proporcionable
razonar	razonable
razón	razonable
realizar	realizable
recordar	recordable
remediar	remediable
reparar	reparable
reprobar	reprobable
respirar	respirable
saludar	saludable
superar	superable
tachar	tachable
tolerar	tolerable
transitar	transitable
tratar	tratable
utilizar	utilizable
vaporizar	vaporizable
variar	variable
vulnerar	vulnerable
