abanico	abaniquito
abejón	abejoncito
abrigo	abriguito
abrojo	abrojito
abuelo	abuelito
acero	acerito
agachado	agachadito
aire	airecito
ajo	ajito
ajustado	ajustadito
alquitrán	alquitrancito
amarillo	amarillito
amigo	amiguito
anillo	anillito
animal	animalito
antimonio	antimonito
aparato	aparatito
árbol	arbolito
asesino	asesinito
avión	avioncito
azul	azulito
babero	baberito
barco	barquito
barril	barrilito
beso	besito
bisabuelo	bisabuelito
biznieto	biznietito
botón	botoncito
brazo	bracito
brillo	brillito
brinco	brinquito
bueno	buenito
cacho	cachito
cachudo	cachudito
canal	canalcito
cartón	cartoncito
cebo	cebito
cepillo	cepillito
cerdo	cerdito
chancho	chanchito
chango	changuito
chao	chaíto
chileno	chilenito
chino	chinito
chico	chiquito
chupar	chupito
cielo	cielito
código	codiguito
conejo	conejito
coco	coquito
coral	coralito
corazón	corazoncito
corto	cortito
cristal	cristalito
cuadro	cuadrito
cubo	cubito
cuero	cuerito
cuidado	cuidadito
dedo	dedito
diente	dientito
equipo	equipito
espejo	espejito
fácil	facilito
farol	farolito
fideo	fideíto
fino	finito
flaco	flaquito
flete	fletecito
foto	fotito
Frasco	Frasquito
gallo	gallito
gato	gatito
gusto	gustito
hervidor	hervidorcito
hueso	huesito
huevo	huevito
igual	igualito
jalón	jaloncito
jamón	jamoncito
jarrón	jarroncito
juego	jueguito
juguete	juguetito
jugo	juguito
kilo	kilito
labio	labiecito
lejos	lejitos
lenguaje	lenguajecito
lenguaje	lenguajito
libro	librito
loco	loquito
mal	malito
mamá	mamito
mantel	mantelito
miedo	miedito
mico	miquito
moderno	modernito
mosca	mosquito
motor	motorcito
muchacho	muchachito
muñeco	muñequito
negro	negrito
nene	nenito
nieto	nietito
niño	niñito
normal	normalito
ojo	ojito
olluco	olluquito
oso	osito
pantalón	pantaloncito
parcero	parcerito
parlante	parlantito
paso	pasito
pato	patito
pedo	pedito
peine	peinecito
pelo	pelito
pequeño	pequeñito
perico	periquito
perro	perrito
pibe	pibito
pie	piecito
pito	pitito
pollo	pollito
poco	poquito
primo	primito
puchungo	puchunguito
puto	putito
queso	quesito
quieto	quietito
rato	ratito
ratón	ratoncito
rebujo	rebujito
rojo	rojito
saludo	saludito
señor	señorito
sol	solcito
sol	solecito
terrón	terroncito
tío	tiíto
tonto	tontito
tren	trencito
triunfo	triunfito
verde	verdecito
viaje	viajecito
virgen	virgencito
