abreviar	abreviación
aclimatar	aclimatación
acuñar	acuñación
adivinar	adivinación
adjetivar	adjetivación
adsorber	adsorción
afijo	afijación
afiliar	afiliación
afinar	afinación
agilizar	agilización
aglomerar	aglomeración
agrupar	agrupación
agudizar	agudización
alcalinizar	alcalinización
amalgamar	amalgamación
americanizar	americanización
amonestar	amonestación
ampliar	ampliación
aniquilar	aniquilación
anular	anulación
aprobar	aprobación
aproximar	aproximación
asolar	asolación
autofinanciar	autofinanciación
autorizar	autorización
bonificar	bonificación
calibrar	calibración
caramelizar	caramelización
carbonizar	carbonización
carburar	carburación
categorizar	categorización
catequizar	catequización
certificar	certificación
clonar	clonación
codificar	codificación
compactar	compactación
compartimentar	compartimentación
concentrar	concentración
conceptuar	conceptuación
connotar	connotación
conservar	conservación
corroborar	corroboración
cotizar	cotización
cuantizar	cuantización
cultivar	cultivación
culturizar	culturización
datar	datación
deliberar	deliberación
depreciar	depreciación
derogar	derogación
desalar	desalación
desaparecer	desaparición
desarticular	desarticulación
descentralizar	descentralización
descongelar	descongelación
desestabilizar	desestabilización
desestimar	desestimación
desfigurar	desfiguración
desgravar	desgravación
desheredar	desheredación
deshidratar	deshidratación
deshumanizar	deshumanización
desorganizar	desorganización
desvalorizar	desvalorización
desvincular	desvinculación
determinar	determinación
detonar	detonación
devaluar	devaluación
digitalizar	digitalización
dignificar	dignificación
diptongo	diptongación
disminuir	disminución
distribuir	distribución
embutir	embutición
enajenar	enajenación
encarcelar	encarcelación
ensoñar	ensoñación
escenificar	escenificación
escolarizar	escolarización
españolizar	españolización
especificar	especificación
evacuar	evacuación
evaluar	evaluación
evangelizar	evangelización
excarcelar	excarcelación
explotar	explotación
explotar	explotación
explotar	explotación
explotar	explotación
fecundar	fecundación
fertilizar	fertilización
filmar	filmación
financiar	financiación
formalizar	formalización
fricativo	fricativización
fulgurar	fulguración
galvanizar	galvanización
germinar	germinación
graduar	graduación
habilitar	habilitación
helenizar	helenización
hidratar	hidratación
humectar	humectación
identificar	identificación
igualar	igualación
imantar	imantación
importar	importación
impregnar	impregnación
incapacitar	incapacitación
incardinar	incardinación
incautar	incautación
incinerar	incineración
incitar	incitación
informatizar	informatización
infravalorar	infravaloración
inhabilitar	inhabilitación
inmigrar	inmigración
involucrar	involucración
islamizar	islamización
ligar	ligación
malversar	malversación
marginalizar	marginalización
marginar	marginación
medicar	medicación
modernizar	modernización
monoptongo	monoptongación
moralizar	moralización
nacionalizar	nacionalización
neutralizar	neutralización
oponer	oposición
oxidar	oxidación
pacificar	pacificación
peregrinar	peregrinación
personalizar	personalización
personificar	personificación
preconizar	preconización
predeterminar	predeterminación
predominar	predominación
prefijo	prefijación
programa	programación
prolongar	prolongación
puntuar	puntuación
racionalizar	racionalización
ralentizar	ralentización
ratificar	ratificación
reactivar	reactivación
reagrupar	reagrupación
recompensa	recompensación
reelegir	reelección
refrendar	refrendación
reincorporar	reincorporación
repudiar	repudiación
retardar	retardación
retener	retención
retroalimentar	retroalimentación
revaluar	revaluación
revelar	revelación
romanizar	romanización
rotular	rotulación
sacralizar	sacralización
sanar	sanación
saponificar	saponificación
secuencia	secuenciación
sindicar	sindicación
sinterizar	sinterización
sintonizar	sintonización
sonorizar	sonorización
suavizar	suavización
sufijo	sufijación
sustantivar	sustantivación
tabular	tabulación
tonificar	tonificación
tramitar	tramitación
transformar	transformación
trasformar	trasformación
triturar	trituración
tumor	tumoración
ubicar	ubicación
unificar	unificación
urbanizar	urbanización
valorar	valoración
valorizar	valorización
valuar	valuación
verbo	verbalización
violar	violación
vulnerar	vulneración
óvulo	ovulación
