abalear	abaleable
acatar	acatable
afectar	afectable
agotar	agotable
ahorcar	ahorcable
aislar	aislable
ajenar	ajenable
ajustar	ajustable
alcanzar	alcanzable
alienar	alienable
amoldar	amoldable
amortizar	amortizable
ampliar	ampliable
analizar	analizable
aplacar	aplacable
arrugar	arrugable
capitular	capitulable
censurar	censurable
compare	comparable
computar	computable
confortar	confortable
congelar	congelable
copiar	copiable
derogar	derogable
desear	deseable
elaborar	elaborable
elegir	elegible
emoción	emocionable
enajenar	enajenable
enrollar	enrollable
enunciar	enunciable
enviar	enviable
envidia	envidiable
eyectar	eyectable
ganar	ganable
glorificar	glorificable
helar	helable
honor	honorable
improfanar	improfanable
imputar	imputable
incinerar	incinerable
intercambiar	intercambiable
localizar	localizable
objetar	objetable
parcelar	parcelable
plegar	plegable
practicar	practicable
proporcionar	proporcionable
razón	razonable
remediar	remediable
reparar	reparable
reprobar	reprobable
tachar	tachable
utilizar	utilizable
vaporizar	vaporizable
