abordable	inabordable
acabado	inacabado
accesible	inaccesible
acción	inacción
aceptable	inaceptable
activar	inactivar
actividad	inactividad
activo	inactivo
adaptable	inadaptable
adaptado	inadaptado
adecuación	inadecuación
adecuado	inadecuado
admisible	inadmisible
advertencia	inadvertencia
advertido	inadvertido
alterado	inalterado
alámbrico	inalámbrico
aplicable	inaplicable
aplicación	inaplicación
apreciable	inapreciable
apropiado	inapropiado
armónico	inarmónico
asequible	inasequible
asistencia	inasistencia
capaz	incapaz
certeza	incerteza
civilizado	incivilizado
clasificable	inclasificable
coherencia	incoherencia
combustible	incombustible
comestible	incomestible
comparable	incomparable
comprendido	incomprendido
comprensión	incomprensión
compresibilidad	incompresibilidad
compresible	incompresible
comunicación	incomunicación
comunicar	incomunicar
concebible	inconcebible
conciliable	inconciliable
concluso	inconcluso
concreto	inconcreto
condicionado	incondicionado
conducente	inconducente
confeso	inconfeso
conformista	inconformista
confundible	inconfundible
consciente	inconsciente
consistencia	inconsistencia
consistente	inconsistente
contable	incontable
contestable	incontestable
controlado	incontrolado
correcto	incorrecto
corrupto	incorrupto
creíble	increíble
crédulo	incrédulo
culto	inculto
cultura	incultura
debido	indebido
decente	indecente
decible	indecible
dehiscente	indehiscente
dependencia	independencia
deseable	indeseable
determinación	indeterminación
digerible	indigerible
discreto	indiscreto
disponer	indisponer
disponible	indisponible
disposición	indisposición
estabilidad	inestabilidad
estable	inestable
existente	inexistente
expresable	inexpresable
expresivo	inexpresivo
formal	informal
fructífero	infructífero
fértil	infértil
grávido	ingrávido
habilidad	inhabilidad
habilitar	inhabilitar
habitado	inhabitado
humano	inhumano
inteligible	ininteligible
maduro	inmaduro
manejable	inmanejable
memoria	inmemorial
merecido	inmerecido
misericordia	inmisericorde
moralidad	inmoralidad
movible	inamovible
movilidad	inamovilidad
necesario	innecesario
olvidable	inolvidable
oportuno	inoportuno
quieto	inquieto
realidad	irrealidad
seguro	inseguro
sensatez	insensatez
sensato	insensato
sepulto	insepulto
solvencia	insolvencia
solvente	insolvente
trascendente	intrascendente
tratable	intratable
variable	invariable
verosímil	inverosímil
vertebrado	invertebrado
vertebrados	invertebrados
vulnerabilidad	invulnerabilidad
vulnerable	invulnerable
