abnegado	abnegadísimo
abundante	abundantísimo
adelantado	adelantadísimo
afectuoso	afectuosísimo
aflicto	aflictísimo
ágil	agilísimo
agripado	agripadísimo
ajustado	ajustadísimo
alargado	alargadísimo
alegre	alegrísimo
alejado	alejadísimo
aliñado	aliñadísimo
alto	altísimo
amado	amadísimo
amante	amantísimo
amigo	amiguísimo
amistoso	amistosísimo
amoroso	amorosísimo
amplio	amplísimo
ancho	anchísimo
angosto	angostísimo
animado	animadísimo
apartado	apartadísimo
apasionado	apasionadísimo
apto	aptísimo
apurado	apuradísimo
ardiente	ardientísimo
argentino	argentinísimo
aromoso	aromosísimo
arreglado	arregladísimo
atento	atentísimo
ávido	avidísimo
avispado	avispadísimo
baboso	babosísimo
bajo	bajísimo
barato	baratísimo
bastante	bastantísimo
beneficente	beneficentísimo
benevolente	benevolentísimo
benévolo	benevolísimo
bondadoso	bondadosísimo
borracho	borrachísimo
boscoso	boscosísimo
bravo	bravísimo
breve	brevísimo
brumoso	brumosísimo
bruto	brutísimo
bueno	buenísimo
cabreado	cabreadísimo
caluroso	calurosísimo
canoso	canosísimo
cansado	cansadísimo
cariñoso	cariñosísimo
caro	carísimo
casto	castísimo
cauteloso	cautelosísimo
caviloso	cavilosísimo
celebrado	celebradísimo
charro	charrísimo
chileno	chilenísimo
chistoso	chistosísimo
chulo	chulísimo
cierto	ciertísimo
claro	clarísimo
cochino	cochinísimo
colombiano	colombianísimo
colorado	coloradísimo
común	comunísimo
concurrido	concurridísimo
constipado	constipadísimo
contento	contentísimo
coordinado	coordinadísimo
copioso	copiosísimo
correcto	correctísimo
corto	cortísimo
cremoso	cremosísimo
crudo	crudísimo
cruel	cruelísimo
cubano	cubanísimo
cuidadoso	cuidadosísimo
culto	cultísimo
cursi	cursilísimo
dañino	dañinísimo
dejado	dejadísimo
delgado	delgadísimo
delicioso	deliciosísimo
denso	densísimo
depurado	depuradísimo
derecho	derechísimo
deseoso	deseosísimo
despejado	despejadísimo
diestro	diestrísimo
diferente	diferentísimo
difícil	dificilísimo
digno	dignísimo
disgustoso	disgustosísimo
docto	doctísimo
dorado	doradísimo
dulce	dulcísimo
duro	durísimo
elegante	elegantísimo
empalagoso	empalagosísimo
encorvado	encorvadísimo
endeble	endeblísimo
enfermo	enfermísimo
engañoso	engañosísimo
engorroso	engorrosísimo
escarpado	escarpadísimo
escaso	escasísimo
esmerado	esmeradísimo
espeso	espesísimo
espinoso	espinosísimo
estorboso	estorbosísimo
estrecho	estrechísimo
estresado	estresadísimo
extraño	extrañísimo
fácil	facilísimo
famoso	famosísimo
fatigado	fatigadísimo
feliz	felicísimo
fértil	fertilísimo
ferviente	fervientísimo
feo	feísimo
filoso	filosísimo
fino	finísimo
fornido	fornidísimo
frecuente	frecuentísimo
frío	friísimo
fuerte	fuertísimo
furioso	furiosísimo
gangoso	gangosísimo
general	generalísimo
generoso	generosísimo
gentil	gentilísimo
gordo	gordísimo
grande	grandísimo
grato	gratísimo
grave	gravísimo
grosero	groserísimo
grueso	gruesísimo
grumoso	grumosísimo
gustoso	gustosísimo
habilidoso	habilidosísimo
halagado	halagadísimo
herido	heridísimo
hondo	hondísimo
inculto	incultísimo
indignado	indignadísimo
ingenioso	ingeniosísimo
ingenuo	ingenuísimo
injurioso	injuriosísimo
intenso	intensísimo
interesado	interesadísimo
irritado	irritadísimo
jodido	jodidísimo
jugoso	jugosísimo
justo	justísimo
largo	larguísimo
lastimoso	lastimosísimo
lejano	lejanísimo
lejos	lejísimos
lento	lentísimo
lerdo	lerdísimo
ligero	ligerísimo
limitado	limitadísimo
lindo	lindísimo
listo	listísimo
lleno	llenísimo
logrado	logradísimo
lujoso	lujosísimo
maduro	madurísimo
malo	malísimo
manso	mansísimo
mañoso	mañosísimo
menudo	menudísimo
mexicano	mexicanísimo
miedoso	miedosísimo
molido	molidísimo
mono	monísimo
morboso	morbosísimo
mucho	muchísimo
negro	negrísimo
nervioso	nerviosísimo
nublado	nubladísimo
nuevo	nuevísimo
obsecuente	obsecuentísimo
ocupado	ocupadísimo
odioso	odiosísimo
ofuscado	ofuscadísimo
oloroso	olorosísimo
olvidado	olvidadísimo
opulento	opulentísimo
oscuro	oscurísimo
paquete	paquetísimo
pecoso	pecosísimo
pelado	peladísimo
peligroso	peligrosísimo
pequeño	pequeñísimo
perecoso	perecosísimo
perfumado	perfumadísimo
peruano	peruanísimo
piloso	pilosísimo
plano	planísimo
pobre	pobrísimo
popular	popularísimo
porfiado	porfiadísimo
poroso	porosísimo
precioso	preciosísimo
preocupado	preocupadísimo
profundo	profundísimo
prolongado	prolongadísimo
pronto	prontísimo
pulcro	pulcrísimo
puro	purísimo
quieto	quietísimo
ramoso	ramosísimo
rápido	rapidísimo
raro	rarísimo
reciente	recientísimo
remoto	remotísimo
respetuoso	respetuosísimo
ridículo	ridiculísimo
riguroso	rigurosísimo
rico	riquísimo
ruidoso	ruidosísimo
sabroso	sabrosísimo
sagrado	sagradísimo
saleroso	salerosísimo
santo	santísimo
sano	sanísimo
secreto	secretísimo
sedoso	sedosísimo
seguro	segurísimo
sereno	serenísimo
serio	serísimo
severo	severísimo
sigiloso	sigilosísimo
solapado	solapadísimo
solo	solísimo
suave	suavísimo
sulfurado	sulfuradísimo
sutil	sutilísimo
tacaño	tacañísimo
taimado	taimadísimo
tarado	taradísimo
tenue	tenuísimo
tierno	tiernísimo
tonto	tontísimo
trasnochado	trasnochadísimo
triste	tristísimo
unido	unidísimo
urgente	urgentísimo
útil	utilísimo
valeroso	valerosísimo
valioso	valiosísimo
valioso	valisosísimo
vanidoso	vanidosísimo
venenoso	venenosísimo
viejo	viejísimo
vigoroso	vigorosísimo
viscoso	viscosísimo
vistoso	vistosísimo
vivo	vivísimo
